id,タイトル,ブランド,カテゴリ,シリーズ,販売ステータス,発売日,配信開始日,価格(税込),通常価格(税込),割引中,CV,シナリオ,イラスト,ジャンル,トラック数,トラックリスト,ファイルサイズ(MB),成人向け,配信限定,新作,ステラ独占,オリジナル特典,メーカー特典,セット購入特典,フェア数,サムネイルURL
2753,先生、痛くしないでOmnibusStory　源慧史～おはようからおやすみまで～(CV：茶介)【ステラワース限定版】,Honey Mellow,シチュエーション,先生,PREORDER,2026-06-26 00:00:00,2026-06-11T15:00:00.000Z,2574,2860,True,茶介,株式会社トライファクション,水野かがり,年上 / 先輩 / 恋人 / ラブラブ / あまあま / オフィス/職場,8,慧史からの”おはよう” / 慧史と出勤 / 慧史に慰められて… / 慧史がいる家に帰宅 / 慧史とお料理 / お風呂で慧史と / 慧史と”おやすみ” / 【ステラワース特典】もしも慧史と学生生活を送っていたら,,False,True,False,False,True,False,False,1,https://api.stellaplayer.jp/media/13985/conversions/021c0efb-c32c-47fc-afb7-c8d1206c94c3-800x800_png.png
2754,先生、痛くしないでOmnibusStory　源慧史～おはようからおやすみまで～(CV：茶介),Honey Mellow,シチュエーション,先生,PREORDER,2026-06-26 00:00:00,2026-06-11T15:00:00.000Z,2530,,False,茶介,株式会社トライファクション,水野かがり,年上 / 先輩 / 恋人 / ラブラブ / あまあま / オフィス/職場,7,慧史からの”おはよう” / 慧史と出勤 / 慧史に慰められて… / 慧史がいる家に帰宅 / 慧史とお料理 / お風呂で慧史と / 慧史と”おやすみ”,,False,True,False,False,False,False,False,0,https://api.stellaplayer.jp/media/13983/conversions/7a9cf2c6-aeff-42b1-b970-d03d5703b8f6-800x800_png.png
2752,暴漢から助けてくれたお兄さんにエロ願望を見抜かれて調教されています♡(CV：主水Ash),Another LABEL,シチュエーション,,ON_SALE,2026-05-29 00:00:00,2026-05-28T15:00:00.000Z,1980,,False,主水Ash,DANKE,芳乃カオル,セフレ,10,タイトル・クレジットコール / 大丈夫? / 逃げるなよ、可愛いドマゾちゃん / 漫画みたいに / 俺の命令は絶対、な / たまには別の場所で / 望むなら、どんなことでも / 恋とか、愛とか、好きだとか / これから先は、二人で / Casttalk,,False,True,False,False,False,True,False,0,https://api.stellaplayer.jp/media/13977/conversions/d7c7e60d-2683-421b-ac42-6616c5d536ab-800x800_png.png
2741,ばぶりーちぇんじ vol.3 献身的彼氏の熱情(CV：井伊筋肉)★特典トラック付,バニラレシピ,シチュエーション,ばぶりーちぇんじ,ON_SALE,2026-05-27 00:00:00,2026-05-20T08:00:00.000Z,2970,,False,井伊筋肉,さくら蒼,うにいくら,恋人 / あまあま / イチャイチャ / 溺愛 / 同棲/同居 / 日常,7,献身的な彼氏 / お風呂上がりの甘い時間 / 初めてのばぶちぇん / 光希の本音 / 再・ばぶちぇん / これからも二人で / 【共通特典】甘やかしオイルマッサージ,,False,True,False,False,False,True,False,0,https://api.stellaplayer.jp/media/13856/conversions/837dc1bd-3569-4534-8a4d-be4749c3843f-800x800_png.png
2744,おとなり以上、恋人未満　～激メロ営業部長・城の寵愛～(CV：茶介)【ステラワース特典SS付き】,Honey Mellow,シチュエーション,おとなり以上,ON_SALE,2026-05-29 00:00:00,2026-05-14T15:00:00.000Z,2860,,False,茶介,ゃぃょぃ,竹輪つぼみ,年上 / ラブラブ / あまあま / スパダリ / オフィス/職場,5,修羅場、見ちゃいました / 一夜の過ち / この関係に、名前をつけられる？ / ただのお隣さんに…戻れるわけない / 君だけを愛してる,,False,True,False,False,True,False,False,0,https://api.stellaplayer.jp/media/13899/conversions/d7f9878c-047d-45d9-b8b8-aff167557a0c-800x800_png.png
2745,おとなり以上、恋人未満　～激メロ営業部長・城の寵愛～(CV：茶介),Honey Mellow,シチュエーション,おとなり以上,ON_SALE,2026-05-29 00:00:00,2026-05-14T15:00:00.000Z,2530,,False,茶介,ゃぃょぃ,竹輪つぼみ,年上 / ラブラブ / あまあま / スパダリ / オフィス/職場,5,修羅場、見ちゃいました / 一夜の過ち / この関係に、名前をつけられる？ / ただのお隣さんに…戻れるわけない / 君だけを愛してる,,False,True,False,False,False,False,False,0,https://api.stellaplayer.jp/media/13897/conversions/f45dcfcb-1db5-4c77-b9a8-e21f98703ba6-800x800_png.png
2742,想い想われ、悟り悟られ。-軽薄×純情-(CV：土門熱),ステラワース,シチュエーション,想い想われ、悟り悟られ。,PREORDER,2026-07-17 00:00:00,2026-05-14T03:00:00.000Z,3190,,False,土門熱,葉月エリカ,小山田あたろう,年下 / 恋人,7,カフェの二階で / 香水をつけてみると……？ / ギャップへの戸惑い / 心の声を聴きながら / 嫉妬と不安 / 心の声を聴かせ合って / 【ステラワース特典】お姫様ごっこな誕生日,,False,False,False,False,True,False,False,0,https://api.stellaplayer.jp/media/13869/conversions/c7a5e596-10a5-4bfd-a1cd-e7b2515c1158-800x800_png.png
2739,深夜残業シリーズ OMNIBUS STORY『藤木礼央　～おはようからおやすみまで～』(CV：土門熱)【ステラワース限定版】,Queen Lily,シチュエーション,深夜残業,ON_SALE,2026-05-22 00:00:00,2026-05-07T15:00:00.000Z,3080,,False,土門熱,株式会社トライファクション,,上司 / 恋人 / ラブラブ / あまあま / 同棲/同居 / スパダリ / 社長 / オフィス/職場,8,礼央からの”おはよう” / 礼央と出勤 / 礼央に慰められて… / 礼央がいる家に帰宅 / 礼央とお料理 / お風呂で礼央と / 礼央と”おやすみ” / 【ステラワース特典】もしも礼央と学生生活を送っていたら,,False,True,False,False,True,False,False,0,https://api.stellaplayer.jp/media/13840/conversions/60d150a1-4a4b-4584-bc5c-007197098102-800x800_png.png
2740,深夜残業シリーズ OMNIBUS STORY『藤木礼央　～おはようからおやすみまで～』(CV：土門熱),Queen Lily,シチュエーション,深夜残業,ON_SALE,2026-05-22 00:00:00,2026-05-07T15:00:00.000Z,2750,,False,土門熱,株式会社トライファクション,,上司 / 恋人 / ラブラブ / あまあま / 同棲/同居 / スパダリ / 社長 / オフィス/職場,7,礼央からの”おはよう” / 礼央と出勤 / 礼央に慰められて… / 礼央がいる家に帰宅 / 礼央とお料理 / お風呂で礼央と / 礼央と”おやすみ”,,False,True,False,False,False,False,False,0,https://api.stellaplayer.jp/media/13838/conversions/374b61f8-c90f-4ec6-8475-fef48b11b019-800x800_png.png
2729,【絶倫×耐久×ライバル同僚♡】Ｗｈｉｃｈ？(CV：冬ノ熊肉)《共通特典トラック付き》,Cranberry,シチュエーション,Ｗｈｉｃｈ？,ON_SALE,2026-05-28 00:00:00,2026-04-30T03:00:00.000Z,2970,,False,冬ノ熊肉,御門蓮,だお。,同僚 / 恋人 / ラブラブ / あまあま / オフィス/職場,10,慰労会の夜 / きっかけ / 資料室にて / 深夜残業の誘惑 / 小さな違和感 / 先輩の想い / 本音 / ふたりの『はじまり』 / グッドモーニング / 【共通特典】好奇心の赴くままに,,False,True,False,False,False,True,False,0,https://api.stellaplayer.jp/media/13729/conversions/279d30a1-7e39-46c3-a349-510101724898-800x800_png.png
